"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Cooper Kupp","LAR","123.1","1,598.5","12.4","4.1","23.9","0.1","0.6","235.9"
"Ja'Marr Chase","CIN","91.7","1,413.5","10.5","8.5","50.0","0.2","0.6","208.9"
"Justin Jefferson","MIN","102.8","1,497.8","9.5","3.1","16.0","0.0","0.6","207.5"
"Deebo Samuel","SF","70.7","1,054.1","6.1","66.3","376.8","4.5","0.7","205.4"
"Davante Adams","LV","106.8","1,326.6","9.3","0.0","0.0","0.0","0.5","187.5"
"Stefon Diggs","BUF","101.6","1,254.1","8.9","0.2","2.0","0.0","0.5","177.8"
"Mike Evans","TB","82.2","1,132.9","10.1","0.2","1.4","0.0","0.5","173.4"
"CeeDee Lamb","DAL","91.1","1,236.2","7.6","6.0","44.9","0.1","0.5","173.2"
"Tyreek Hill","MIA","93.1","1,164.4","8.2","8.8","62.1","0.3","0.5","172.5"
"Tee Higgins","CIN","85.1","1,187.3","7.8","0.2","0.8","0.0","0.5","164.5"
"A.J. Brown","PHI","78.2","1,143.0","8.1","0.8","7.6","0.0","0.5","162.9"
"Mike Williams","LAC","74.7","1,098.0","8.0","0.0","0.2","0.0","0.4","156.8"
"Michael Pittman Jr.","IND","91.6","1,132.1","6.7","4.7","34.7","0.1","0.6","156.5"
"DJ Moore","CAR","86.1","1,134.8","5.6","5.6","37.9","0.1","0.6","150.4"
"Keenan Allen","LAC","99.9","1,089.5","6.9","0.4","1.8","0.0","0.5","149.6"
"Gabriel Davis","BUF","61.8","967.8","8.8","0.0","0.0","0.0","0.1","149.6"
"Brandin Cooks","HOU","92.4","1,105.9","6.1","2.6","18.5","0.1","0.5","148.6"
"DK Metcalf","SEA","78.3","1,047.8","6.8","0.4","2.2","0.0","0.6","144.9"
"Diontae Johnson","PIT","95.3","1,051.1","6.1","4.2","31.6","0.1","1.0","143.1"
"Chris Godwin","TB","87.3","1,008.5","6.7","2.2","12.1","0.3","0.9","142.2"
"Terry McLaurin","WAS","78.5","1,068.8","5.8","0.4","4.6","0.0","0.4","141.4"
