rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,215.0,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,215.0,26.0,3.9,1.09,5.03
2,George Kittle,TE,29.0,2022,151.3,43.0,5.0,1.12,6.06
3,Zach Ertz,TE,32.0,2022,150.42000000000002,101.0,10.4,5.01,12.08
4,Kyle Pitts,TE,22.0,2022,145.88,37.0,4.8,1.05,6.01
5,Pat Freiermuth,TE,24.0,2022,145.08,121.0,14.3,3.01,14.08
6,Dallas Goedert,TE,27.0,2022,142.64,83.0,8.9,4.05,11.07
7,T.J. Hockenson,TE,25.0,2022,133.35999999999999,66.0,6.7,3.1,8.11
8,Tyler Higbee,TE,29.0,2022,122.22,193.0,28.6,6.11,19.04
9,Hunter Henry,TE,28.0,2022,122.22,141.0,16.6,5.01,15.1
10,Austin Hooper,TE,28.0,2022,120.1,195.0,26.9,4.12,18.06
11,Evan Engram,TE,28.0,2022,119.0,208.0,22.9,9.08,18.03
12,Mike Gesicki,TE,27.0,2022,116.24000000000001,127.0,14.2,5.03,15.11
13,Noah Fant,TE,25.0,2022,115.17999999999999,219.0,25.0,4.11,18.06
14,Gerald Everett,TE,28.0,2022,113.42,231.0,21.3,8.02,18.06
15,Dawson Knox,TE,26.0,2022,95.4,92.0,11.0,3.07,13.03
16,Dalton Schultz,TE,26.0,2022,92.1,71.0,7.6,2.03,9.04
17,Cole Kmet,TE,23.0,2022,82.38,140.0,15.2,6.03,15.12
18,Logan Thomas,TE,31.0,2022,80.85999999999999,226.0,19.8,7.11,18.06
19,Robert Tonyan,TE,28.0,2022,80.52000000000001,,,,
20,Cameron Brate,TE,31.0,2022,77.25999999999999,162.0,36.0,4.12,17.02
21,Hayden Hurst,TE,29.0,2022,74.34,161.0,31.4,6.12,18.05
22,Kyle Rudolph,TE,33.0,2022,72.24,178.0,33.6,5.07,18.05
23,David Njoku,TE,26.0,2022,71.04,207.0,23.6,2.12,18.06
24,Albert Okwuegbunam,TE,24.0,2022,60.54,180.0,19.6,7.05,18.06
25,Mo Alie-Cox,TE,29.0,2022,57.760000000000005,167.0,41.3,6.08,18.02
