,Player,Position,Age,ovr_score,rush_yds_score,catch_yds_score,Overall,High,Low
0,Dalvin Cook,RB,27,1.2628821922057043,0.7104970008097686,0.5523851913959357,77.3,25.0,118.0
1,Josh Jacobs,RB,24,1.0835507388333019,0.6849185947300771,0.39863214410322484,21.2,8.0,35.0
2,Derrick Henry,RB,28,1.0502578981499087,0.5648029134961439,0.48545498465376474,18.0,8.0,29.0
3,Austin Ekeler,RB,27,1.0217050410210293,0.6392459296915167,0.38245911132951266,5.0,1.0,11.0
4,Jonathan Taylor,RB,23,1.0116768476916094,0.6272279348329048,0.38444891285870453,17.7,3.0,32.0
5,Najee Harris,RB,24,0.9824663034737626,0.5738003428020566,0.40866596067170596,26.8,11.0,42.0
6,Alvin Kamara,RB,27,0.9766386810779051,0.4400599828663239,0.5365786982115811,66.0,40.0,87.0
7,D'Andre Swift,RB,23,0.9412142756460451,0.6365681233933161,0.304646152252729,60.6,26.0,93.0
8,Travis Etienne,RB,23,0.9312551865018053,0.6137532133676092,0.3175019731341961,31.6,11.0,52.0
9,Aaron Jones,RB,28,0.9263560324901513,0.49794344476863756,0.42841258772151375,35.4,19.0,50.0
10,Kenneth Walker III,RB,22,0.9228239911467446,0.574228791773779,0.3485951993729657,45.3,15.0,70.0
11,Ezekiel Elliott,RB,27,0.9140006347294805,0.5346186804241645,0.3793819543053159,121.1,76.0,170.0
12,J.K. Dobbins,RB,24,0.9073559034240316,0.5681233933161953,0.3392325101078363,55.0,34.0,78.0
13,James Robinson,RB,24,0.8773196045424323,0.5398029134061696,0.33751669113626265,149.8,98.0,179.0
14,Christian McCaffrey,RB,26,0.8338275411886096,0.3607112253598972,0.47311631582871244,1.8,1.0,5.0
15,Dameon Pierce,RB,22,0.8255747700239484,0.5483933161953727,0.27718145382857573,53.3,22.0,78.0
16,Breece Hall,RB,21,0.8255380022725931,0.41330334190231366,0.4122346603702794,31.3,14.0,51.0
17,Saquon Barkley,RB,25,0.8230733905603344,0.4834190231233933,0.33965436743694105,8.9,3.0,16.0
18,Tony Pollard,RB,25,0.7728895865103422,0.3700085689845758,0.4028810175257664,15.2,7.0,25.0
19,Chuba Hubbard,RB,23,0.7491413273985539,0.432754927159383,0.3163864002391708,157.5,105.0,194.0
20,Nick Chubb,RB,27,0.7436132915516691,0.42125107115681226,0.3223622203948568,12.6,3.0,23.0
