,Player,Position,Age,ovr_score,rush_yds_score,catch_yds_score,Overall,High,Low
91,Royce Freeman,RB,26,0.0980976731983506,0.09202757596363162,0.01011682872453163,,,
92,Pierre Strong,RB,24,0.08629613440522575,0.05752414574302008,0.04795331443700945,,,
93,Ke'Shawn Vaughn,RB,25,0.08581206585517531,0.07559804136399487,0.01702337415196741,,,
94,Ameer Abdullah,RB,29,0.0856898308943018,0.01776293495217631,0.11321149323687582,,,
95,Avery Williams,RB,24,0.08543142396691779,0.07276609694087725,0.02110887837673423,,,
96,Nyheim Hines,RB,26,0.08335424369095074,0.01928861469660531,0.10677604832390905,,,
97,Rex Burkhead,RB,32,0.08045548016631027,0.022477809968933508,0.09662945032896127,,,
98,Sony Michel,RB,27,0.08025046421102701,0.05274505009200662,0.04584235686503398,,,
99,Trestan Ebner,RB,23,0.079397042051115,0.07211459635478788,0.012137409493878544,,,
100,Trayveon Williams,RB,25,0.07737934854964273,0.03986561534477472,0.06252288867478001,,,
101,Benny Snell Jr.,RB,24,0.07733584705288722,0.05753722881613738,0.03299769706124974,,,
102,Kyren Williams,RB,22,0.07156743716794423,0.05541143830252731,0.02692666477569486,,,
103,Phillip Lindsay,RB,28,0.0666778431443103,0.05765415808836972,0.015039475093234316,,,
104,Darrynton Evans,RB,24,0.062322744049554735,0.04663469948551954,0.026146740940058658,,,
105,Corey Clement,RB,28,0.05961665702345406,0.03129187277647385,0.04720797374496702,,,
106,Kene Nwangwu,RB,24,0.0555775596850087,0.025874977666686717,0.04950430336386997,,,
107,Zamir White,RB,23,0.053394915253228384,0.053394915253228384,0.0,146.9,95.0,185.0
108,Anthony McFarland Jr.,RB,23,0.05014534082401206,0.03938867625019068,0.017927774289702297,,,
109,Jordan Wilkins,RB,28,0.04935501551093578,0.031306837873104156,0.030080296063052715,,,
110,Patrick Taylor,RB,24,0.0492026140343495,0.02542315086519438,0.039632438615258545,,,
111,Salvon Ahmed,RB,24,0.049018835212711984,0.030289550878031066,0.03121547389113486,,,
112,Kevin Harris,RB,22,0.04868279979956283,0.04868279979956283,0.0,,,
113,David Johnson,RB,31,0.047319361741595845,0.012489402598317077,0.058049931905464626,,,
114,Keaontay Ingram,RB,23,0.04703832926356154,0.02661137120524142,0.0340449300972002,,,
115,Julius Chestnut,RB,22,0.044551296660010564,0.019205237240221565,0.042243432366315004,,,
116,Dare Ogunbowale,RB,28,0.04258006022761438,0.01896407506200198,0.03935997527602067,,,
117,Myles Gaskin,RB,25,0.03883256897790356,0.01434402521190476,0.040814239609998006,,,
118,J.J. Taylor,RB,24,0.038259882230798944,0.01969775973756111,0.030936870822063058,,,
119,Jaret Patterson,RB,23,0.03787233068014588,0.03398833413296704,0.006473327578631401,,,
120,D'Ernest Johnson,RB,26,0.037772243094914774,0.03287468986930329,0.008162588709352478,,,
121,Isaiah Spiller,RB,21,0.03597101235923525,0.02673856345458575,0.015387414841082496,157.7,122.0,178.0
122,Tony Jones,RB,25,0.03528907555189139,0.026963326003248148,0.013876249247738738,,,
123,Giovani Bernard,RB,31,0.03354906070549759,0.019710644195022983,0.023064027517457675,,,
124,Larry Rountree,RB,23,0.03310890513741577,0.021577975601656734,0.019218215892931725,,,
125,Tyler Badie,RB,22,0.032636019988978505,0.014049143146480017,0.030978128070830814,,,
126,Dwayne Washington,RB,28,0.03142971359963757,0.025217874252666635,0.010353065578284882,,,
127,Trey Sermon,RB,23,0.030986978487463075,0.030807925331104345,0.0002984219272645476,,,
128,Ronnie Rivers,RB,23,0.029857545086998987,0.01838077709411495,0.01912794665480673,,,
129,Snoop Conner,RB,22,0.02890616103310923,0.02890616103310923,0.0,,,
130,Godwin Igwebuike,RB,28,0.021374642743087025,0.016065337541606255,0.008848842002467952,,,
131,Jerome Ford,RB,23,0.021320551908336167,0.02105231754147853,0.00044705727809606186,154.7,107.0,210.0
132,Devine Ozigbo,RB,26,0.020680660880893334,0.015436866197469727,0.008739657805706014,,,
133,Spencer Brown,RB,24,0.019859214609213784,0.016816569096513953,0.005071075854499719,,,
134,Ty Chandler,RB,24,0.019852128508702896,0.019852128508702896,0.0,,,
135,Reggie Bonnafon,RB,26,0.018227576689294433,0.017512414211122415,0.001191937463620032,,,
136,Kylin Hill,RB,24,0.016878456315586335,0.016878456315586335,0.0,,,
137,Ty Montgomery,RB,29,0.016646394338634338,0.010282776349614395,0.010606029981699905,,,
138,Duke Johnson,RB,29,0.012874455716929646,0.011421031360929085,0.0024223739266676005,,,
139,Damien Williams,RB,30,0.012562742386439806,0.011109318030439245,0.0024223739266676005,,,
140,Jordan Howard,RB,28,0.011822989420016005,0.010581294027462424,0.002069492320922636,,,
141,Demetric Felton,RB,24,0.01033610723353131,0.005026821681113594,0.008848809254029526,,,
